,Tweets
128,Pundak kamu masih kuat kan?
129,"Belajarlah untuk berkata tidak untuk sesuatu yang memang ga baik buat kamu, jangan ga enakan mulu."
130,Allah baik banget.
131,"Tetap berusaha, Allah nanti mudahkan."
132,"RT @LoriaRiariaa: #restolegendaris Palangkaraya nih bozzz
1. RM Serba Kandas (sambel2an khas Dayak beserta sop dan ikan sungai)
2. Guang We…"
133,"RT @yummycakeeee: Makanan legendaris Solo :
1. Selat Solo Mbak Lies
2. Tahu kupat Sido mampir
3. Sate kambing bu Hj.Bejo
4. Dawet Telasih B…"
134,"GIVEAWAYY!!
Merapat gaes gua mau bagi 1 JUTA OVO Cash (200rb/orang) nih.
Tiap daerah pasti punya #RestoLegendaris y… https://t.co/tG7tsaCZTE"
135,"Malem malem enak nih giveaway 1 juta.
Eits tapi RT dulu twit ini dan RT twit setelah ini yak.

Sekarang reply dulu… https://t.co/m8i46EQyGk"
136,RT @Mayonoisee: Gamau dipendam aslinya. Cuma takut kalau dianya gapunya perasaan yang sama
137,Mau sampai kapan perasaanmu dipendam?
138,Mau sampai kapan menunggu kepastian?
139,RT @SiAnaKoala: Jadi kita serius apa ngga nanti?
140,RT @BtolKecap: Jalanin aja
141,Jadi gimana nanti?
142,Selamat berbuka puasa bagi yang menjalankannya 🥰 https://t.co/gIKK3ZQPGf
143,RT @ekambink: dari bangun tidur udah berasa berat :(
144,RT @anggaaaks: @radenrauf so far so good alhamdulillah full senyum :))))
145,How’s your Monday so far gaes?
146,You deserve yo be happy.
147,You deserve better.
148,Overthinking kills your happiness.
149,"Istirahat dulu, overthinking terus tidak baik."
150,BESOK SENIN
151,"Kadang, kamu cuma butuh makan enak buat balikin mood lagi."
152,Kamu cantik dengan caramu.
153,"Kamu sudah manis, jangan terlalu banyak minum yang manis manis ya."
154,Malam minggu ko udah capek aja.
155,"RT @wishmelucky35: @radenrauf Dapet nangisnya, dapet ovt nya
Kurang apa lagii🤧😪"
156,"Gimana tadi Malam Minggunya?
Dapet?"
157,RT @slzbyaa: @radenrauf #LoveStory  coba coba berhadiah https://t.co/Fz3rEVGDyi
158,"RT @merrynblla: @radenrauf Cari partner nyeblak sabi lah
.
.
.
#LoveStory https://t.co/FZHwTN3L7y"
159,RT @Araa_rda: @radenrauf Yang baca ini dalem hati gemessh ya #LoveStory https://t.co/uv13gV6LvU
160,"RT @elvanor15: @radenrauf Punten urang sunda mau lewat siapa tau ada yang mau jadi urang sunda 😆

#LoveStory https://t.co/QI7LjVdTqo"
161,"DEAR TWITTER, PLEASEE DO YOUR MAGIC!

Biro Jodoh Love Story dimulai!!! 

Temukan jodoh untuk jomblo yang reply deng… https://t.co/A1iw7LWsKb"
162,"Malam ini malam minggu, apa rencana menarik kamu?"
163,"Pasangan udah sesempurna itu ko masih diselingkuhin? Emang apa alasannya?

Mau apapun alasannya, selingkuh itu teta… https://t.co/lFSS6RURce"
164,"Percayalah, segala kesulitan yang kamu lalui bukan tidak berarti apa apa.
Nanti juga akan berakhir indah, bismillah."
165,"Semakin dewasa kita akan sadar bahwa ada beberapa perjalanan yang memang harus kita lalui sendiri, tanpa siapapun.
Tetap kuat ya."
166,"Capek ya?
Istirahat dulu, nanti dilanjut lagi."
167,"Tidak perlu takut untuk memulai kembali, kali ini kamu sudah berbekal pengalaman berharga, meski jadinya tidak mudah percaya."
168,"Ko belum tidur, kenapa?"
169,"Yang keliatannya baik belum tentu baik beneran, hati hati dengan siapa kamu percaya."
170,RT @Icepeachyy1: @radenrauf Self reward menurut gw adl cara buat kita biar tambah semangat goals dari kerja keras kita selama ini. Tapi har…
171,"Sebenernya prinsip orang beda-beda ya, ada yang live in the moment atau ya mikirin buat masa depan.

Kalo menurut g… https://t.co/WLVeaKIMNg"
172,"Hidup cuma sekali, jangan lupa dinikmati.
Besok weekend, kamu berhak merayakannya."
173,"Ada yang datang cuma singgah tapi berkesan baik, ada yang begitu lama tinggal tapi perginya ga baik baik.
Ya begitu… https://t.co/spvJjnAVoh"
174,"Congrats @mengsyediih @bigwinx_july @derian1912 @ArgentianaA untuk hadiahnya bisa DM @hellokeny ya!
Nanti dibantu proses di sana."
175,"Selamat buat para pemenang!
Nanti banyak giveaway lagi dari gua jadi pantengin terus aja ya!

@bulanmatte… https://t.co/EqMK3LyyBO"
176,"Hari Jumat hari baik, semoga hari ini penuh dengan kabar baik.
Tetap jadi orang baik ya."
177,"People come and go, that's life."
178,"Nikah gausah buru buru, serius dah.
Nikmatin dulu masa muda lu. 

Tapi kalau emang udah sama sama siap ya gas aja."
179,"RT @ApriliaRestuAn1: @radenrauf tekanan besar, gajinya kecil."
180,RT @friyda___: @radenrauf Pengeluaran besar pemasukannya kecil .. :(
181,"Tekanan besar, supportnya kecil."
182,Selamat berbuka puasa buat yang merayakannya 🥰 https://t.co/TsdQl729m8
183,"Tetap tenang, ga semuanya harus diselesaikan hari ini, pelan pelan, nanti juga ketemu jalannya, yang penting kan sudah dan terus berusaha."
184,"Jangan ngerusak kebahagiaan orang, kan bahagianya orang beda beda, yang menurut kamu sepele bisa jadi buat orang lain sangat berarti."
185,"Stop membandingkan, jalan hidup orang kan beda beda."
186,"Ignore them.
Kamu juga berhak bahagia."
187,"Wah banyak yang ikutan ya. Ini dia pemenang giveaway #AzarineBodyguard gaes!
Jeng jeng jeng!
@dailymoonstarr… https://t.co/sngpOHfs0O"
188,"Dalam hidup, kita harus belajar tentang melepaskan, let it go."
189,"Lagi rame tentang gaji, mau gaji berapapun asal banyak dan disyukuri pasti cukup cukup aja dibanding kalau gajinya… https://t.co/WUghkwk3IC"
190,RT @mrtya_: Segininya banget ya buat pertahanin dia🤧
191,"Semoga kamu berjodoh dengan orang baik, aamiin. 
Jangan lupa untuk tetap jadi orang baik juga."
192,"Masih sanggup bertahan kan?
Dikit lagi ya."
193,"Masih banyak orang baik di dunia ini, semoga kamu selalu dikelilingi orang baik.
Dan jangan lupa untuk terus jadi orang baik ya."
194,"Jangankan ikut campur urusan orang, perkara urusan diri sendiri aja udah puyeng."
195,RT @kapekalem: Hamdallah aman ga aman si
196,RT @ItsmeEpin: Masih sama mencoba kuat untuk melewati hari
197,RT @dnvtyd: Semoga :)
