;Tweet;sentimen;step01;tokens;final_tokens;step02;ProcessedText
16;@radenrauf Benar banget.Healing gak perlu ke tempat yg jauh2 tapi cukup sekadar istirehat dirumah aja..yg penting k… https://t.co/Iz8jbL2m6R;0;user benar banget healing gak perlu ke tempat yg jauh2 tapi cukup sekadar istirehat dirumah aja yg penting coiz8jbl2m6r;['user', 'benar', 'banget', 'healing', 'gak', 'perlu', 'ke', 'tempat', 'yg', 'jauh2', 'tapi', 'cukup', 'sekadar', 'istirehat', 'dirumah', 'aja', 'yg', 'penting', 'coiz8jbl2m6r'];['user', 'benar', 'banget', 'healing', 'tidak', 'perlu', 'ke', 'tempat', 'yang', 'jauh2', 'tapi', 'cukup', 'sekadar', 'istirehat', 'dirumah', 'saja', 'yang', 'penting', 'coiz8jbl2m6r'];user benar banget healing tidak perlu ke tempat yang jauh2 tapi cukup sekadar istirehat dirumah saja yang penting coiz8jbl2m6r;user benar banget healing perlu tempat jauh2 cukup sekadar istirehat rumah yang penting coiz8jbl2m6r
17;"@radenrauf Banyak hal baik di Oktober. Thnk u❤
https://t.co/fA5X7cCPtO";0;user banyak hal baik di oktober thnk cofa5x7ccpto;['user', 'banyak', 'hal', 'baik', 'di', 'oktober', 'thnk', 'cofa5x7ccpto'];['user', 'banyak', 'hal', 'baik', 'di', 'oktober', 'thnk', 'cofa5x7ccpto'];user banyak hal baik di oktober thnk cofa5x7ccpto;user banyak baik oktober thnk cofa5x7ccpto
18;@radenrauf pinggir jalan;0;user pinggir jalan;['user', 'pinggir', 'jalan'];['user', 'pinggir', 'jalan'];user pinggir jalan;user pinggir jalan
19;@radenrauf gak perlu jauh, yang penting bisa rehat tanpa rasa khawatir aja udah cukup;0;user gak perlu jauh yang penting bisa rehat tanpa rasa khawatir aja udah cukup;['user', 'gak', 'perlu', 'jauh', 'yang', 'penting', 'bisa', 'rehat', 'tanpa', 'rasa', 'khawatir', 'aja', 'udah', 'cukup'];['user', 'tidak', 'perlu', 'jauh', 'yang', 'penting', 'bisa', 'rehat', 'tanpa', 'rasa', 'khawatir', 'saja', 'sudah', 'cukup'];user tidak perlu jauh yang penting bisa rehat tanpa rasa khawatir saja sudah cukup;user perlu jauh penting rehat rasa khawatir sudah cukup
20;@itpeso @radenrauf Selamat ulang tahun sep,semoga panjang umur dan selalu diberikan kesehatan,aamiin 🤲🏻;0;user user selamat ulang tahun sep semoga panjang umur dan selalu diberikan kesehatan aamiin;['user', 'user', 'selamat', 'ulang', 'tahun', 'sep', 'semoga', 'panjang', 'umur', 'dan', 'selalu', 'diberikan', 'kesehatan', 'aamiin'];['user', 'user', 'selamat', 'ulang', 'tahun', 'sep', 'semoga', 'panjang', 'umur', 'dan', 'selalu', 'diberikan', 'kesehatan', 'semoga'];user user selamat ulang tahun sep semoga panjang umur dan selalu diberikan kesehatan semoga;user user selamat ulang tahun sep moga panjang umur selalu beri sehat moga
21;@zidnylthfa @radenrauf Mau dong xixi;0;user user mau dong xixi;['user', 'user', 'mau', 'dong', 'xixi'];['user', 'user', 'mau', 'dong', 'xixi'];user user mau dong xixi;user user mau dong xixi
22;"@itpeso @radenrauf Selamat ulang tahun kak
Tanggal lahir kita sama, tahun aja yang beda";0;user user selamat ulang tahun kak tanggal lahir kita sama tahun aja yang beda;['user', 'user', 'selamat', 'ulang', 'tahun', 'kak', 'tanggal', 'lahir', 'kita', 'sama', 'tahun', 'aja', 'yang', 'beda'];['user', 'user', 'selamat', 'ulang', 'tahun', 'kak', 'tanggal', 'lahir', 'kita', 'sama', 'tahun', 'saja', 'yang', 'beda'];user user selamat ulang tahun kak tanggal lahir kita sama tahun saja yang beda;user user selamat ulang tahun kak tanggal lahir sama tahun yang beda
23;@radenrauf @AmandaViaayy Udh ga kaget lagi hari senin, soalnya pengangguran wkwk;0;user user udh ga kaget lagi hari senin soalnya pengangguran wkwk;['user', 'user', 'udh', 'ga', 'kaget', 'lagi', 'hari', 'senin', 'soalnya', 'pengangguran', 'wkwk'];['user', 'user', 'sudah', 'tidak', 'kaget', 'lagi', 'hari', 'senin', 'soalnya', 'pengangguran', 'wkwk'];user user sudah tidak kaget lagi hari senin soalnya pengangguran wkwk;user user tidak kaget hari senin soal anggur wkwk
24;@radenrauf Gak kerasa apa-apa;0;user gak kerasa apa apa;['user', 'gak', 'kerasa', 'apa', 'apa'];['user', 'tidak', 'kerasa', 'apa', 'apa'];user tidak kerasa apa apa;user rasa apa apa
25;RT @tapiachaa: @radenrauf byee oktober plis november kalo gabisa baik jangan jadi jahat kek dia :);0;rt user user byee oktober plis november kalo gabisa baik jangan jadi jahat kek dia happy;['rt', 'user', 'user', 'byee', 'oktober', 'plis', 'november', 'kalo', 'gabisa', 'baik', 'jangan', 'jadi', 'jahat', 'kek', 'dia', 'happy'];['rt', 'user', 'user', 'byee', 'oktober', 'mohon', 'november', 'kalau', 'gabisa', 'baik', 'jangan', 'jadi', 'jahat', 'kayak', 'dia', 'happy'];rt user user byee oktober mohon november kalau gabisa baik jangan jadi jahat kayak dia happy;rt user user byee oktober mohon november kalau gabisa baik jangan jadi jahat kayak happy
26;@radenrauf Parkiran mobil;0;user parkiran mobil;['user', 'parkiran', 'mobil'];['user', 'parkiran', 'mobil'];user parkiran mobil;user parkir mobil
27;badjingane bgt loe oktober https://t.co/Ylo6aS7XFl;0;badjingane bgt loe oktober coylo6as7xfl;['badjingane', 'bgt', 'loe', 'oktober', 'coylo6as7xfl'];['badjingane', 'banget', 'loe', 'oktober', 'coylo6as7xfl'];badjingane banget loe oktober coylo6as7xfl;badjingane banget loe oktober coylo6as7xfl
28;RT @sweat1308: @radenrauf Kesayangam ku https://t.co/IkfNLiks6d;0;rt user user kesayangam ku coikfnliks6d;['rt', 'user', 'user', 'kesayangam', 'ku', 'coikfnliks6d'];['rt', 'user', 'user', 'kesayangam', 'ku', 'coikfnliks6d'];rt user user kesayangam ku coikfnliks6d;rt user user kesayangam ku coikfnliks6d
29;@radenrauf Ini om https://t.co/LQwJVnxYij;0;user ini om colqwjvnxyij;['user', 'ini', 'om', 'colqwjvnxyij'];['user', 'ini', 'om', 'colqwjvnxyij'];user ini om colqwjvnxyij;user om colqwjvnxyij
30;@radenrauf Ga bljar hanya main di sekolah hari yg indh bngt trs main ama crush;1;user ga bljar hanya main di sekolah hari yg indh bngt trs main ama crush;['user', 'ga', 'bljar', 'hanya', 'main', 'di', 'sekolah', 'hari', 'yg', 'indh', 'bngt', 'trs', 'main', 'ama', 'crush'];['user', 'tidak', 'belajar', 'hanya', 'main', 'di', 'sekolah', 'hari', 'yang', 'indh', 'bngt', 'terus', 'main', 'sama', 'crush'];user tidak belajar hanya main di sekolah hari yang indh bngt terus main sama crush;user ajar main sekolah hari indh bngt terus main sama crush
31;@radenrauf hari hari tertentu di bulan oktober jadi octrouble but fun walaupun ga selalu fun! h-60 to 2023 aaa not ready yet:(;1;user hari hari tertentu di bulan oktober jadi octrouble but fun walaupun ga selalu fun number to number aaa not ready yet sad;['user', 'hari', 'hari', 'tertentu', 'di', 'bulan', 'oktober', 'jadi', 'octrouble', 'but', 'fun', 'walaupun', 'ga', 'selalu', 'fun', 'number', 'to', 'number', 'aaa', 'not', 'ready', 'yet', 'sad'];['user', 'hari', 'hari', 'tertentu', 'di', 'bulan', 'oktober', 'jadi', 'octrouble', 'but', 'fun', 'walaupun', 'tidak', 'selalu', 'fun', 'number', 'to', 'number', 'aaa', 'not', 'ready', 'yet', 'sad'];user hari hari tertentu di bulan oktober jadi octrouble but fun walaupun tidak selalu fun number to number aaa not ready yet sad;user hari hari tentu bulan oktober jadi octrouble but fun walaupun selalu fun number to number aaa not ready yet sad
32;@radenrauf iyh berasa banget;0;user iyh berasa banget;['user', 'iyh', 'berasa', 'banget'];['user', 'iyh', 'berasa', 'banget'];user iyh berasa banget;user iyh asa banget
33;"@radenrauf Senin datang, dan kontrakan masih ready nih... Yang minat DM aja yaaa 🤗
Area Kebagusan, Pasar Minggu. Bi… https://t.co/xMObcuWlgT";1;user senin datang dan kontrakan masih ready nih yang minat dm aja yaaa area kebagusan pasar minggu bi coxmobcuwlgt;['user', 'senin', 'datang', 'dan', 'kontrakan', 'masih', 'ready', 'nih', 'yang', 'minat', 'dm', 'aja', 'yaaa', 'area', 'kebagusan', 'pasar', 'minggu', 'bi', 'coxmobcuwlgt'];['user', 'senin', 'datang', 'dan', 'kontrakan', 'masih', 'ready', 'ini', 'yang', 'minat', 'dm', 'saja', 'yaaa', 'area', 'kebagusan', 'pasar', 'minggu', 'bi', 'coxmobcuwlgt'];user senin datang dan kontrakan masih ready ini yang minat dm saja yaaa area kebagusan pasar minggu bi coxmobcuwlgt;user senin datang kontra ready yang minat dm yaaa area bagus pasar minggu bi coxmobcuwlgt
34;RT @Trio8996: @radenrauf Dunia memang tak adil, makanya tuhan menjanjikan akherat;0;rt user user dunia memang tak adil makanya tuhan menjanjikan akherat;['rt', 'user', 'user', 'dunia', 'memang', 'tak', 'adil', 'makanya', 'tuhan', 'menjanjikan', 'akherat'];['rt', 'user', 'user', 'dunia', 'memang', 'tak', 'adil', 'makanya', 'tuhan', 'menjanjikan', 'akherat'];rt user user dunia memang tak adil makanya tuhan menjanjikan akherat;rt user user dunia memang tak adil makanya tuhan janji akherat
35;@radenrauf 🐅udah mulai nampak akhir tahun;0;user udah mulai nampak akhir tahun;['user', 'udah', 'mulai', 'nampak', 'akhir', 'tahun'];['user', 'sudah', 'mulai', 'nampak', 'akhir', 'tahun'];user sudah mulai nampak akhir tahun;user mulai nampak akhir tahun
36;@radenrauf BESOK GAJIAN;0;user besok gajian;['user', 'besok', 'gajian'];['user', 'besok', 'gajian'];user besok gajian;user besok gaji
37;@radenrauf sejauh ini Oktober yg campur aduk sih, gilaa seruuuu tapi capee, but dibulan ini byk bgt kenangannya, by… https://t.co/ygCNlj6rDk;0;user sejauh ini oktober yg campur aduk sih gilaa seruuuu tapi capee but dibulan ini byk bgt kenangannya by coygcnlj6rdk;['user', 'sejauh', 'ini', 'oktober', 'yg', 'campur', 'aduk', 'sih', 'gilaa', 'seruuuu', 'tapi', 'capee', 'but', 'dibulan', 'ini', 'byk', 'bgt', 'kenangannya', 'by', 'coygcnlj6rdk'];['user', 'sejauh', 'ini', 'oktober', 'yang', 'campur', 'aduk', 'sih', 'gilaa', 'seruuuu', 'tapi', 'capee', 'but', 'dibulan', 'ini', 'banyak', 'banget', 'kenangannya', 'by', 'coygcnlj6rdk'];user sejauh ini oktober yang campur aduk sih gilaa seruuuu tapi capee but dibulan ini banyak banget kenangannya by coygcnlj6rdk;user jauh oktober campur aduk sih gilaa seruuuu capee but bulan banyak banget kenang by coygcnlj6rdk
38;@radenrauf Walaupun warnanya dark semua;-1;user walaupun warnanya dark semua;['user', 'walaupun', 'warnanya', 'dark', 'semua'];['user', 'walaupun', 'warnanya', 'dark', 'semua'];user walaupun warnanya dark semua;user walaupun warna dark semua
39;Warna warni apanya orang kelabu gini https://t.co/GC055bgybA;0;warna warni apanya orang kelabu gini cogc055bgyba;['warna', 'warni', 'apanya', 'orang', 'kelabu', 'gini', 'cogc055bgyba'];['warna', 'warni', 'apanya', 'orang', 'kelabu', 'gini', 'cogc055bgyba'];warna warni apanya orang kelabu gini cogc055bgyba;warna warni apa orang kelabu gin cogc055bgyba
40;@radenrauf Ini isi kepala atau pasar sii?! Kok ramaii sekalii;0;user ini isi kepala atau pasar sii kok ramaii sekalii;['user', 'ini', 'isi', 'kepala', 'atau', 'pasar', 'sii', 'kok', 'ramaii', 'sekalii'];['user', 'ini', 'isi', 'kepala', 'atau', 'pasar', 'sih', 'kok', 'ramaii', 'sekalii'];user ini isi kepala atau pasar sih kok ramaii sekalii;user isi kepala pasar sih kok ramai sekali
41;Oktroubel. Masalah datang keroyokan🙃 https://t.co/uiMhMjztAx;0;oktroubel masalah datang keroyokan couimhmjztax;['oktroubel', 'masalah', 'datang', 'keroyokan', 'couimhmjztax'];['oktroubel', 'masalah', 'datang', 'keroyokan', 'couimhmjztax'];oktroubel masalah datang keroyokan couimhmjztax;oktroubel masalah datang keroyokan couimhmjztax
42;"@radenrauf Belinya disini yaa bestiee ⤵️😙
https://t.co/MswDcwHiTs";0;user belinya disini yaa bestiee comswdcwhits;['user', 'belinya', 'disini', 'yaa', 'bestiee', 'comswdcwhits'];['user', 'belinya', 'disini', 'iya', 'bestiee', 'comswdcwhits'];user belinya disini iya bestiee comswdcwhits;user beli sini iya bestiee comswdcwhits
43;@radenrauf Berasa capenya;0;user berasa capenya;['user', 'berasa', 'capenya'];['user', 'berasa', 'capenya'];user berasa capenya;user asa cape
44;"@radenrauf Thx u octoberrr🤍

Btw ,nitip sendal yg superrrr kiyowooo 🥳🤩 https://t.co/PysHC12nk1";0;user thx octoberrr btw nitip sendal yg superrrr kiyowooo copyshc12nk1;['user', 'thx', 'octoberrr', 'btw', 'nitip', 'sendal', 'yg', 'superrrr', 'kiyowooo', 'copyshc12nk1'];['user', 'terimakasih', 'octoberrr', 'eh', 'nitip', 'sendal', 'yang', 'superrrr', 'kiyowooo', 'copyshc12nk1'];user terimakasih octoberrr eh nitip sendal yang superrrr kiyowooo copyshc12nk1;user terimakasih octoberrr eh nitip sendal superrrr kiyowooo copyshc12nk1
45;@radenrauf Badai hujan angin puting beliungnya dapet semua di oktober 😌;0;user badai hujan angin puting beliungnya dapet semua di oktober;['user', 'badai', 'hujan', 'angin', 'puting', 'beliungnya', 'dapet', 'semua', 'di', 'oktober'];['user', 'badai', 'hujan', 'angin', 'puting', 'beliungnya', 'mendapat', 'semua', 'di', 'oktober'];user badai hujan angin puting beliungnya mendapat semua di oktober;user badai hujan angin puting beliung dapat semua oktober
46;@radenrauf Disaat ini hanya butuh sabar dan sadar;0;user disaat ini hanya butuh sabar dan sadar;['user', 'disaat', 'ini', 'hanya', 'butuh', 'sabar', 'dan', 'sadar'];['user', 'disaat', 'ini', 'hanya', 'butuh', 'sabar', 'dan', 'sadar'];user disaat ini hanya butuh sabar dan sadar;user saat hanya butuh sabar sadar
47;@radenrauf Oktoberat :);0;user oktoberat happy;['user', 'oktoberat', 'happy'];['user', 'oktoberat', 'happy'];user oktoberat happy;user oktoberat happy
48;@radenrauf oktober ku suram;0;user oktober ku suram;['user', 'oktober', 'ku', 'suram'];['user', 'oktober', 'ku', 'suram'];user oktober ku suram;user oktober ku suram
49;@radenrauf Item sm abu aja bang;0;user item sm abu aja bang;['user', 'item', 'sm', 'abu', 'aja', 'bang'];['user', 'item', 'sama', 'abu', 'saja', 'bang'];user item sama abu saja bang;user item sama abu bang
50;"valid, Oktober ku full senyum
9/10 buat Oktober https://t.co/3Abr6ezzmi";1;valid oktober ku full senyum number number buat oktober co3abr6ezzmi;['valid', 'oktober', 'ku', 'full', 'senyum', 'number', 'number', 'buat', 'oktober', 'co3abr6ezzmi'];['valid', 'oktober', 'ku', 'penuh', 'senyum', 'number', 'number', 'buat', 'oktober', 'co3abr6ezzmi'];valid oktober ku penuh senyum number number buat oktober co3abr6ezzmi;valid oktober ku penuh senyum number number buat oktober co3abr6ezzmi
51;@radenrauf terimakasih oktrouble atas kejutan² yg lewat;0;user terimakasih oktrouble atas kejutan yg lewat;['user', 'terimakasih', 'oktrouble', 'atas', 'kejutan', 'yg', 'lewat'];['user', 'terimakasih', 'oktrouble', 'atas', 'kejutan', 'yang', 'lewat'];user terimakasih oktrouble atas kejutan yang lewat;user terimakasih oktrouble atas kejut lewat
52;@radenrauf Kok,, di gue cmn hitam doang? Gk ada warna lain kek Oktober 🫠☺️;0;user kok di gue cmn hitam doang gk ada warna lain kek oktober;['user', 'kok', 'di', 'gue', 'cmn', 'hitam', 'doang', 'gk', 'ada', 'warna', 'lain', 'kek', 'oktober'];['user', 'kok', 'di', 'saya', 'cuma', 'hitam', 'saja', 'tidak', 'ada', 'warna', 'lain', 'kayak', 'oktober'];user kok di saya cuma hitam saja tidak ada warna lain kayak oktober;user kok saya cuma hitam tidak warna kayak oktober
53;"@itpeso @radenrauf Selamat ulang taun ka, sukses &amp; bahagia selalu ❤️";0;user user selamat ulang taun ka sukses bahagia selalu;['user', 'user', 'selamat', 'ulang', 'taun', 'ka', 'sukses', 'bahagia', 'selalu'];['user', 'user', 'selamat', 'ulang', 'tahun', 'ka', 'sukses', 'bahagia', 'selalu'];user user selamat ulang tahun ka sukses bahagia selalu;user user selamat ulang tahun ka sukses bahagia selalu
54;Bener, semoga bulan selanjutnya lebih baik https://t.co/tVsEPx4lwS;0;bener semoga bulan selanjutnya lebih baik cotvsepx4lws;['bener', 'semoga', 'bulan', 'selanjutnya', 'lebih', 'baik', 'cotvsepx4lws'];['benar', 'semoga', 'bulan', 'selanjutnya', 'lebih', 'baik', 'cotvsepx4lws'];benar semoga bulan selanjutnya lebih baik cotvsepx4lws;benar moga bulan lanjut lebih baik cotvsepx4lws
55;"@radenrauf Byk pengalaman bagus n bermanfaat di bulan oktober ❤️☺️

https://t.co/ugJ98pxFyd⤵️⤵️ https://t.co/PJMUe2Umup";0;user byk pengalaman bagus bermanfaat di bulan oktober cougj98pxfyd copjmue2umup;['user', 'byk', 'pengalaman', 'bagus', 'bermanfaat', 'di', 'bulan', 'oktober', 'cougj98pxfyd', 'copjmue2umup'];['user', 'banyak', 'pengalaman', 'bagus', 'bermanfaat', 'di', 'bulan', 'oktober', 'cougj98pxfyd', 'copjmue2umup'];user banyak pengalaman bagus bermanfaat di bulan oktober cougj98pxfyd copjmue2umup;user banyak alam bagus manfaat bulan oktober cougj98pxfyd copjmue2umup
56;@radenrauf uda senin woi;0;user uda senin woi;['user', 'uda', 'senin', 'woi'];['user', 'sudah', 'senin', 'woi'];user sudah senin woi;user senin woi
57;@radenrauf banyak tangisnya daripada tawanya hehe;0;user banyak tangisnya daripada tawanya hehe;['user', 'banyak', 'tangisnya', 'daripada', 'tawanya', 'hehe'];['user', 'banyak', 'tangisnya', 'daripada', 'tawanya', 'hehe'];user banyak tangisnya daripada tawanya hehe;user banyak tangis tawa hehe
58;@radenrauf Oktober berasa banget menyedihkannya, sumpah asli😭;0;user oktober berasa banget menyedihkannya sumpah asli;['user', 'oktober', 'berasa', 'banget', 'menyedihkannya', 'sumpah', 'asli'];['user', 'oktober', 'berasa', 'banget', 'menyedihkannya', 'sumpah', 'asli'];user oktober berasa banget menyedihkannya sumpah asli;user oktober asa banget sedih sumpah asli
59;@itpeso @radenrauf Selamat ulang tahun!! Hai ultah kita sama loh bulannya:));0;user user selamat ulang tahun hai ultah kita sama loh bulannya happy;['user', 'user', 'selamat', 'ulang', 'tahun', 'hai', 'ultah', 'kita', 'sama', 'loh', 'bulannya', 'happy'];['user', 'user', 'selamat', 'ulang', 'tahun', 'hai', 'ultah', 'kita', 'sama', 'loh', 'bulannya', 'happy'];user user selamat ulang tahun hai ultah kita sama loh bulannya happy;user user selamat ulang tahun hai ultah sama loh bulan happy
60;@radenrauf Udah butaa warna dah;0;user udah butaa warna dah;['user', 'udah', 'butaa', 'warna', 'dah'];['user', 'sudah', 'butaa', 'warna', 'sudah'];user sudah butaa warna sudah;user butaa warna
61;@radenrauf byee oktober plis november kalo gabisa baik jangan jadi jahat kek dia :);0;user byee oktober plis november kalo gabisa baik jangan jadi jahat kek dia happy;['user', 'byee', 'oktober', 'plis', 'november', 'kalo', 'gabisa', 'baik', 'jangan', 'jadi', 'jahat', 'kek', 'dia', 'happy'];['user', 'byee', 'oktober', 'mohon', 'november', 'kalau', 'gabisa', 'baik', 'jangan', 'jadi', 'jahat', 'kayak', 'dia', 'happy'];user byee oktober mohon november kalau gabisa baik jangan jadi jahat kayak dia happy;user byee oktober mohon november kalau gabisa baik jangan jadi jahat kayak happy
62;@radenrauf BESOK SELASA;0;user besok selasa;['user', 'besok', 'selasa'];['user', 'besok', 'selasa'];user besok selasa;user besok selasa
63;"@luvvvfly @radenrauf Makasih kakk 🖤
Seneng banget, terharuu :'))";0;user user makasih kakk seneng banget terharuu;['user', 'user', 'makasih', 'kakk', 'seneng', 'banget', 'terharuu'];['user', 'user', 'makasih', 'kakk', 'senang', 'banget', 'terharuu'];user user makasih kakk senang banget terharuu;user user makasih kakk senang banget terharuu
64;@radenrauf Apaan kelabu semua;0;user apaan kelabu semua;['user', 'apaan', 'kelabu', 'semua'];['user', 'apaan', 'kelabu', 'semua'];user apaan kelabu semua;user apa kelabu semua
65;@xxxkoso1 @radenrauf Makasih kak 🖤;0;user user makasih kak;['user', 'user', 'makasih', 'kak'];['user', 'user', 'makasih', 'kak'];user user makasih kak;user user makasih kak
66;@radenrauf Berasa capeknya gk sih setiap bulan keknya capek aja tuh;0;user berasa capeknya gk sih setiap bulan keknya capek aja tuh;['user', 'berasa', 'capeknya', 'gk', 'sih', 'setiap', 'bulan', 'keknya', 'capek', 'aja', 'tuh'];['user', 'berasa', 'capeknya', 'tidak', 'sih', 'setiap', 'bulan', 'keknya', 'capek', 'saja', 'itu'];user berasa capeknya tidak sih setiap bulan keknya capek saja itu;user asa capek sih bulan kek capek itu
67;Akhir oktober ku ditutup dengan pagi senin yang plot twist 😂 https://t.co/8n6o9MST5f;0;akhir oktober ku ditutup dengan pagi senin yang plot twist co8n6o9mst5f;['akhir', 'oktober', 'ku', 'ditutup', 'dengan', 'pagi', 'senin', 'yang', 'plot', 'twist', 'co8n6o9mst5f'];['akhir', 'oktober', 'ku', 'ditutup', 'dengan', 'pagi', 'senin', 'yang', 'plot', 'twist', 'co8n6o9mst5f'];akhir oktober ku ditutup dengan pagi senin yang plot twist co8n6o9mst5f;akhir oktober ku tutup pagi senin plot twist co8n6o9mst5f
68;berasa banget tangisan nya https://t.co/es3nFzq8yR;0;berasa banget tangisan nya coes3nfzq8yr;['berasa', 'banget', 'tangisan', 'nya', 'coes3nfzq8yr'];['berasa', 'banget', 'tangisan', 'nya', 'coes3nfzq8yr'];berasa banget tangisan nya coes3nfzq8yr;asa banget tangis nya coes3nfzq8yr
69;Banget, asli haha https://t.co/0tUOJHHvdR;1;banget asli haha co0tuojhhvdr;['banget', 'asli', 'haha', 'co0tuojhhvdr'];['banget', 'asli', 'haha', 'co0tuojhhvdr'];banget asli haha co0tuojhhvdr;banget asli haha co0tuojhhvdr
70;@radenrauf Tempat Parkir;0;user tempat parkir;['user', 'tempat', 'parkir'];['user', 'tempat', 'parkir'];user tempat parkir;user tempat parkir
71;@radenrauf Parkiran;0;user parkiran;['user', 'parkiran'];['user', 'parkiran'];user parkiran;user parkir
72;@radenrauf Berasa encok nya;0;user berasa encok nya;['user', 'berasa', 'encok', 'nya'];['user', 'berasa', 'encok', 'nya'];user berasa encok nya;user asa encok nya
