,tanggal_tweet,pengguna,Tweet,sentimen
28,2022-10-31 03:03:51+00:00,S_poo7,RT @sweat1308: @radenrauf Kesayangam ku https://t.co/IkfNLiks6d,0
29,2022-10-31 03:03:42+00:00,AntonWiyono9,@radenrauf Ini om https://t.co/LQwJVnxYij,0
30,2022-10-31 03:03:11+00:00,Raka93460892,@radenrauf Ga bljar hanya main di sekolah hari yg indh bngt trs main ama crush,1
31,2022-10-31 03:03:04+00:00,doinyaeunnu,@radenrauf hari hari tertentu di bulan oktober jadi octrouble but fun walaupun ga selalu fun! h-60 to 2023 aaa not ready yet:(,1
32,2022-10-31 03:00:54+00:00,zyxcbaliii,@radenrauf iyh berasa banget,0
33,2022-10-31 02:57:02+00:00,ladyhee87,"@radenrauf Senin datang, dan kontrakan masih ready nih... Yang minat DM aja yaaa 🤗
Area Kebagusan, Pasar Minggu. Bi… https://t.co/xMObcuWlgT",1
34,2022-10-31 02:54:12+00:00,shassie_jully24,"RT @Trio8996: @radenrauf Dunia memang tak adil, makanya tuhan menjanjikan akherat",0
35,2022-10-31 02:53:45+00:00,donianugroho,@radenrauf 🐅udah mulai nampak akhir tahun,0
36,2022-10-31 02:52:53+00:00,IccywT,@radenrauf BESOK GAJIAN,0
37,2022-10-31 02:52:16+00:00,NjellAngelika,"@radenrauf sejauh ini Oktober yg campur aduk sih, gilaa seruuuu tapi capee, but dibulan ini byk bgt kenangannya, by… https://t.co/ygCNlj6rDk",0
38,2022-10-31 02:50:24+00:00,just_peopleeeee,@radenrauf Walaupun warnanya dark semua,-1
39,2022-10-31 02:49:42+00:00,cinderrjoy,Warna warni apanya orang kelabu gini https://t.co/GC055bgybA,0
40,2022-10-31 02:47:34+00:00,gdiskcill,@radenrauf Ini isi kepala atau pasar sii?! Kok ramaii sekalii,0
41,2022-10-31 02:47:11+00:00,aprilias07,Oktroubel. Masalah datang keroyokan🙃 https://t.co/uiMhMjztAx,0
42,2022-10-31 02:44:21+00:00,YunaNurlaeni,"@radenrauf Belinya disini yaa bestiee ⤵️😙
https://t.co/MswDcwHiTs",0
43,2022-10-31 02:44:17+00:00,gdiskcill,@radenrauf Berasa capenya,0
44,2022-10-31 02:44:12+00:00,YunaNurlaeni,"@radenrauf Thx u octoberrr🤍

Btw ,nitip sendal yg superrrr kiyowooo 🥳🤩 https://t.co/PysHC12nk1",0
45,2022-10-31 02:40:16+00:00,cip833,@radenrauf Badai hujan angin puting beliungnya dapet semua di oktober 😌,0
46,2022-10-31 02:40:04+00:00,NurFadi76502673,@radenrauf Disaat ini hanya butuh sabar dan sadar,0
47,2022-10-31 02:39:58+00:00,rizadwisafitri_,@radenrauf Oktoberat :),0
48,2022-10-31 02:36:04+00:00,dolkquin,@radenrauf oktober ku suram,0
49,2022-10-31 02:34:48+00:00,sivaarsbh,@radenrauf Item sm abu aja bang,0
50,2022-10-31 02:34:44+00:00,KRidhaaaa,"valid, Oktober ku full senyum
9/10 buat Oktober https://t.co/3Abr6ezzmi",1
51,2022-10-31 02:33:34+00:00,agungasakura,@radenrauf terimakasih oktrouble atas kejutan² yg lewat,0
52,2022-10-31 02:32:59+00:00,keiikeii03,"@radenrauf Kok,, di gue cmn hitam doang? Gk ada warna lain kek Oktober 🫠☺️",0
53,2022-10-31 02:32:34+00:00,yaakan_cyn,"@itpeso @radenrauf Selamat ulang taun ka, sukses &amp; bahagia selalu ❤️",0
54,2022-10-31 02:32:32+00:00,Samsularif866,"Bener, semoga bulan selanjutnya lebih baik https://t.co/tVsEPx4lwS",0
55,2022-10-31 02:31:25+00:00,yaakan_cyn,"@radenrauf Byk pengalaman bagus n bermanfaat di bulan oktober ❤️☺️

https://t.co/ugJ98pxFyd⤵️⤵️ https://t.co/PJMUe2Umup",0
56,2022-10-31 02:29:35+00:00,flavourcuties,@radenrauf uda senin woi,0
57,2022-10-31 02:25:18+00:00,apaliatliatttt,@radenrauf banyak tangisnya daripada tawanya hehe,0
58,2022-10-31 02:24:20+00:00,Khay_irm,"@radenrauf Oktober berasa banget menyedihkannya, sumpah asli😭",0
59,2022-10-31 02:23:40+00:00,alepyupoll,@itpeso @radenrauf Selamat ulang tahun!! Hai ultah kita sama loh bulannya:)),0
60,2022-10-31 02:22:47+00:00,Youlsksksksksk,@radenrauf Udah butaa warna dah,0
61,2022-10-31 02:22:46+00:00,tapiachaa,@radenrauf byee oktober plis november kalo gabisa baik jangan jadi jahat kek dia :),0
62,2022-10-31 02:22:42+00:00,keiikeii03,@radenrauf BESOK SELASA,0
63,2022-10-31 02:22:06+00:00,itpeso,"@luvvvfly @radenrauf Makasih kakk 🖤
Seneng banget, terharuu :'))",0
64,2022-10-31 02:22:04+00:00,Trianaidh,@radenrauf Apaan kelabu semua,0
65,2022-10-31 02:21:05+00:00,itpeso,@xxxkoso1 @radenrauf Makasih kak 🖤,0
66,2022-10-31 02:20:44+00:00,AisyahM62121208,@radenrauf Berasa capeknya gk sih setiap bulan keknya capek aja tuh,0
67,2022-10-31 02:18:23+00:00,Raishaadht,Akhir oktober ku ditutup dengan pagi senin yang plot twist 😂 https://t.co/8n6o9MST5f,0
68,2022-10-31 02:17:20+00:00,tipsycec,berasa banget tangisan nya https://t.co/es3nFzq8yR,0
69,2022-10-31 02:16:20+00:00,diaramilk,"Banget, asli haha https://t.co/0tUOJHHvdR",1
70,2022-10-31 02:15:17+00:00,Pry83738917,@radenrauf Tempat Parkir,0
71,2022-10-31 02:15:16+00:00,Rismacima_,@radenrauf Parkiran,0
72,2022-10-31 02:13:58+00:00,AulianNasywa,@radenrauf Berasa encok nya,0
73,2022-10-31 02:13:44+00:00,R4R4Y4Y4,"@radenrauf Terimakasih Oktober,,,,",0
74,2022-10-31 02:13:11+00:00,throwmeaw4y,@radenrauf aseli berasa bgt,0
75,2022-10-31 02:10:53+00:00,syifarlv,ga asik. bye https://t.co/9SWpjDa1Gv,0
76,2022-10-31 02:08:31+00:00,humairanf16,@radenrauf iya warnaa,0
77,2022-10-31 02:08:07+00:00,ari_sy7,Kok yang aku putih aja https://t.co/OH17thfbWf,0
78,2022-10-31 02:06:21+00:00,Flipburg3r,"@radenrauf bersyukur ajaa bisa ngelewatin oktober, walaupun kalo abis main bareng senengnya minta ampun eh sampe rumah diem dieman lagi",1
79,2022-10-31 02:03:22+00:00,Hoezain_R,@radenrauf Parkiran,0
80,2022-10-31 02:03:13+00:00,el_queensha,@radenrauf Betul ..kopi pagi ..biar semangat ..slm sehat slalu ...,0
81,2022-10-31 02:03:06+00:00,ayuocha24,@radenrauf pikiran,0
82,2022-10-31 02:01:31+00:00,ayuocha24,@radenrauf berasa trouble nya😂,-1
83,2022-10-31 02:01:13+00:00,iaacans11,"@radenrauf Yes, hari nggak gw suka",0
84,2022-10-31 02:01:12+00:00,Sesihel,"@radenrauf Permisi kak met pagiii~ barangkali ada yang membutuhkan, bisa ya tarot reading di akuu~ bisa dicek detai… https://t.co/MG0nSBza3Z",0
85,2022-10-31 02:00:10+00:00,noturd4rl,@radenrauf Setujuuuu,0
86,2022-10-31 01:56:36+00:00,yndww09,@radenrauf makasih oktober yang flat flat aja,-1
87,2022-10-31 01:55:09+00:00,kudatrbngkangks,@radenrauf SIAP GAS #DGcon2022,0
88,2022-10-31 01:54:56+00:00,mbakbia,Berasa stressnya https://t.co/jdWwuk84XC,0
89,2022-10-31 01:51:35+00:00,luvvvfly,"@itpeso @radenrauf selamat ulang tahun Kak, selamat berbahagia sehat dan semoga sukses lancar Dunia Akhirat! Bulan… https://t.co/vJdWuZniyx",0
90,2022-10-31 01:44:35+00:00,bliNkeuuu4_,@radenrauf Oktober ku indah bgt haha,1
91,2022-10-31 01:43:33+00:00,imazkyo,@radenrauf Drama di Bln Oktober makasih https://t.co/CIB0GCQHH2,0
92,2022-10-31 01:42:59+00:00,dwrchmw,@radenrauf parkiran sih kayanya,0
93,2022-10-31 01:42:25+00:00,EllyangH,"@radenrauf Kak, apa bener ya cowok kalo pas pacaran dan dia ga posesif itu artinya gak serius ?",0
94,2022-10-31 01:41:35+00:00,andikakrnwn1_,@radenrauf di injek,0
95,2022-10-31 01:40:32+00:00,imazkyo,@radenrauf Tunggu ya bntr lagi nyusul https://t.co/CIB0GCRfwA,0
96,2022-10-31 01:39:32+00:00,xxxkoso1,"@itpeso @radenrauf selamat bertambah usia kaka cantik, i feel you🥺🫶🏻",0
97,2022-10-31 01:36:36+00:00,danoesetiantos,@radenrauf parkiran,0
98,2022-10-31 01:35:46+00:00,el_queensha,@radenrauf Insya Allah ...salam sehat slalu ...,0
99,2022-10-31 01:34:44+00:00,itpeso,"@radenrauf Iya bg berasa banget, bahkan aku ultah aja gaada yg ngucapin sama sekali. Pdhl effort gua ke temen2 aja… https://t.co/LBDFv7ZyZ3",0
